image_stem,title,subheadline,author,body
Ojo_2016-03-07_22,Es más fácil engañar a la gente que convencerlos de que han sido engañados,La Frase,"Mark Twain, Escritor",NA
Ojo_2016-03-07_22,Qué significa Rescindir,NA,NA,"Dejar sin efecto un contrato, una obligación, una resolución judicial. Sinónimos: anular, invalidar, cancelar, abolir, revocar. Antónimos: confirmar, ratificar, revalidar, prorrogar."
Ojo_2016-03-07_22,Coquetea con mi prima,NA,Magaly Moro,"Carolina (24, San Miguel). En un mes, mi vida se ha derrumbado por completo, doctora. Tenía dos años y medio de una sana relación con mi novio, Gustavo, hasta que un día se puso a beber con mi familia. Era el cumpleaños de una de mis tías y todos nos estábamos divirtiendo con tranquilidad, pero no me di cuenta de que él ya tenía varias copas encima antes de llegar a la reunión. Mi novio nunca antes se había comportado mal con ninguno de mis parientes, pero ese día se puso muy grosero e incluso intentó seducir a una de mis primas, Angie. Después de alabar públicamente su figura, se le acercó y hasta le propuso salir juntos. Toda mi familia se molestó. Le pedí disculpas a mi prima, una de las personas que más estimo, y salí con él llena de vergüenza. En la calle nos pusimos a discutir y decidimos que cada uno se vaya por su camino. Me dolió enormemente, pero creo haber tomado la decisión correcta. Algunos días después, Angie me llamó para decirme que Gustavo se había comunicado con ella para molestarla. En principio ella aceptó hablar con él porque le dijo que estaba arrepentido y quería que ella lo ayude a reconquistarme. Pero después, intentó propasarse con ella y la hizo pasar un mal momento. Con todo eso, es definitivo que no regresaré de nuevo con él. Ahora siento nada más que cólera por su terrible conducta. Sin embargo, lo que más me aterra es que hace algunos días noté que no venía mi periodo y tengo mucho miedo de estar embarazada."
Ojo_2016-03-07_22,Olvidar para vivir sin rencores,NA,NA,"Por más que sea difícil, obligue a su mente a no recordar las cosas que le han hecho tanto daño a lo largo de su vida. No vale la pena gastar el tiempo trayendo a la memoria cosas que solo le harán sufrir."
Ojo_2016-03-07_22,¿Cómo vivir una soltería feliz?,NA,NA,La soltería le permite a una persona dedicarse a sí misma y no dejar la felicidad en manos de nadie más. Planifique varias actividades e invierta en su vida social. Es un buen momento para triunfar en el trabajo.
Ojo_2016-03-07_22,Un alivio para una ruptura amorosa,NA,NA,"Cuando una relación termina abruptamente, el impacto de la ruptura es mayor si se anda escaso de autoestima. No se deje arrastrar por el dolor, es un buen momento para dedicarse a uno mismo."
Ojo_2016-03-07_22,Una conducta odiosa en parejas,NA,NA,"Tanto hombres como mujeres se sienten muy fastidiados cuando la pareja le comenta a sus amistades cada uno de los detalles más íntimos de su relación, sin guardarse nada para el ámbito privado."
Ojo_2016-03-07_22,"Ojo, consejo",NA,NA,"Si consideras que se trata de una persona que no vale la pena, tu decisión es la correcta y no debes cambiarla. Los hijos son independientes a la vida con una u otra pareja."
Ojo_2018-12-24_21,Falso Emprendedor,NA,NA,"Este personaje se caracteriza por ser envidioso, avaro, lujurioso y poco creativo. También tiene una actitud soberbia con sus compañeros de trabajo."
Ojo_2018-12-24_21,La importancia de una Fanpage,Atención,NA,Una cuenta en las redes sociales permite que el negocio interactúe con más personas a nivel mundial. También muestra los productos o servicios que ofrece la marca a un público potencial.
Ojo_2018-12-24_21,Emprendedores Universitarios,Problema,NA,"El principal obstáculo de estos emprendedores es que no realizan un plan de negocio correcto y aceptan el reto de 'lanzarse a la piscina' sin evaluar las consecuencias. Pese a ello, son muy resilientes."
Ojo_2018-12-24_21,Negocios con la Generación Z,Ideas,NA,"Emprendimientos sobre tecnología, cosmetología, boutiques y las finanzas son algunas de las opciones de negocio por las que jóvenes de la generación Z (nacidos entre 1995 y 2010) apostarán."
